Experiment ID,Track type,Cell type class,Cell type,Keyword
SRX1403228,JMJD6,Others,Tumor,tumor
SRX1403231,JMJD6,Others,Tumor,tumor
SRX14718976,TCF21,Others,Tumor,tumor
SRX1670478,RBPJ,Others,Tumor,tumor
SRX1670479,RBPJ,Others,Tumor,tumor
SRX1744213,PGBD5,Kidney,Rhabdoid Tumor,tumor
SRX2270409,JMJD6,Others,Tumor,tumor
SRX2270413,JMJD6,Others,Tumor,tumor
SRX695881,ASCL1,Others,Tumor,tumor
SRX695882,ASCL1,Others,Tumor,tumor
SRX695883,ASCL1,Others,Tumor,tumor
SRX695884,ASCL1,Others,Tumor,tumor
SRX695885,ASCL1,Others,Tumor,tumor
SRX695886,ASCL1,Others,Tumor,tumor
SRX695887,ASCL1,Others,Tumor,tumor
SRX695888,ASCL1,Others,Tumor,tumor
SRX695889,ASCL1,Others,Tumor,tumor
SRX695890,ASCL1,Others,Tumor,tumor
SRX695891,ASCL1,Others,Tumor,tumor
SRX8726280,BMI1,Others,Tumor,tumor
SRX8726281,BMI1,Others,Tumor,tumor
SRX8726286,BMI1,Others,Tumor,tumor
SRX8726289,BMI1,Others,Tumor,tumor
SRX8726294,BMI1,Others,Tumor,tumor
SRX8726297,BMI1,Others,Tumor,tumor
SRX8726304,BMI1,Others,Tumor,tumor
SRX8726306,BMI1,Others,Tumor,tumor
SRX8898037,SUZ12,Others,Tumor-derived cell line,tumor
SRX8898038,SUZ12,Others,Tumor-derived cell line,tumor
SRX8898039,SUZ12,Others,Tumor-derived cell line,tumor
SRX8898040,SUZ12,Others,Tumor-derived cell line,tumor
SRX8898041,SUZ12,Others,Tumor-derived cell line,tumor
SRX8898042,SUZ12,Others,Tumor-derived cell line,tumor
SRX9794645,EZH2,Others,Tumor,tumor
SRX9794646,EZH2,Others,Tumor,tumor
SRX1745724,ESR1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745725,FOXA1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745728,ESR1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745729,FOXA1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745732,ESR1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745733,FOXA1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745736,ESR1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745738,ESR1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745739,FOXA1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745742,ESR1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745743,FOXA1,Uterus,Endometrial Stromal Tumors,tumors
SRX3944340,BRD4,Digestive tract,Gastrointestinal Stromal Tumors,tumors
SRX3944342,BRD4,Digestive tract,Gastrointestinal Stromal Tumors,tumors
SRX3944344,BRD4,Digestive tract,Gastrointestinal Stromal Tumors,tumors
SRX371427,ESR1,Others,Tumour tissues,tumour
SRX371428,ESR1,Others,Tumour tissues,tumour
SRX371429,ESR1,Others,Tumour tissues,tumour
SRX371430,ESR1,Others,Tumour tissues,tumour
SRX371431,ESR1,Others,Tumour tissues,tumour
SRX371432,ESR1,Others,Tumour tissues,tumour
SRX371433,ESR1,Others,Tumour tissues,tumour
SRX371434,ESR1,Others,Tumour tissues,tumour
SRX371435,ESR1,Others,Tumour tissues,tumour
SRX371436,ESR1,Others,Tumour tissues,tumour
SRX371437,ESR1,Others,Tumour tissues,tumour
SRX371438,ESR1,Others,Tumour tissues,tumour
SRX371439,ESR1,Others,Tumour tissues,tumour
SRX371440,ESR1,Others,Tumour tissues,tumour
SRX371441,ESR1,Others,Tumour tissues,tumour
SRX371442,ESR1,Others,Tumour tissues,tumour
SRX371443,ESR1,Others,Tumour tissues,tumour
SRX371444,ESR1,Others,Tumour tissues,tumour
SRX371445,ESR1,Others,Tumour tissues,tumour
SRX371446,ESR1,Others,Tumour tissues,tumour
SRX371447,ESR1,Others,Tumour tissues,tumour
SRX371448,ESR1,Others,Tumour tissues,tumour
SRX371449,ESR1,Others,Tumour tissues,tumour
ERX2260037,BCL11A,Lung,Lung cancer,cancer
ERX2260038,SOX2,Lung,Lung cancer,cancer
ERX2260039,BCL11A,Lung,Lung cancer,cancer
ERX2260040,SOX2,Lung,Lung cancer,cancer
ERX2260043,BCL11A,Lung,Lung cancer,cancer
ERX2260044,SOX2,Lung,Lung cancer,cancer
ERX2260045,BCL11A,Lung,Lung cancer,cancer
ERX2260046,SOX2,Lung,Lung cancer,cancer
SRX022577,AR,Prostate,Prostate cancer cells,cancer
SRX022578,ERG,Prostate,Prostate cancer cells,cancer
SRX10142202,CTCF,Breast,Breast cancer cell line,cancer
SRX10142203,CTCF,Breast,Breast cancer cell line,cancer
SRX10142204,CTCF,Breast,Breast cancer cells,cancer
SRX10142205,CTCF,Breast,Breast cancer cells,cancer
SRX10468615,ESR1,Breast,Breast cancer cells,cancer
SRX10468616,ESR1,Breast,Breast cancer cells,cancer
SRX10468617,ESR1,Breast,Breast cancer cells,cancer
SRX10468618,ESR1,Breast,Breast cancer cells,cancer
SRX10468619,ESR1,Breast,Breast cancer cells,cancer
SRX10468620,ESR1,Breast,Breast cancer cells,cancer
SRX10468621,ESR1,Breast,Breast cancer cells,cancer
SRX10468622,ESR1,Breast,Breast cancer cells,cancer
SRX10468633,FOXA1,Breast,Breast cancer cells,cancer
SRX10468634,FOXA1,Breast,Breast cancer cells,cancer
SRX10468635,FOXA1,Breast,Breast cancer cells,cancer
SRX10468636,FOXA1,Breast,Breast cancer cells,cancer
SRX1067063,FOXA1,Prostate,Prostate cancer cells,cancer
SRX1067064,HOXB13,Prostate,Prostate cancer cells,cancer
SRX11150129,GATA3,Breast,Breast cancer cells,cancer
SRX11150130,GATA3,Breast,Breast cancer cells,cancer
SRX11150132,GATA3,Breast,Breast cancer cells,cancer
SRX11150133,GATA3,Breast,Breast cancer cells,cancer
SRX11758129,CBX5,Digestive tract,Colon cancer cell line,cancer
SRX11758131,CTCF,Digestive tract,Colon cancer cell line,cancer
SRX11758132,CTCF,Digestive tract,Colon cancer cell line,cancer
SRX11758133,SMC3,Digestive tract,Colon cancer cell line,cancer
SRX11758134,SMC3,Digestive tract,Colon cancer cell line,cancer
SRX11758135,RAD21,Digestive tract,Colon cancer cell line,cancer
SRX11758136,RAD21,Digestive tract,Colon cancer cell line,cancer
SRX12008006,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008007,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008008,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008009,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008010,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008011,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008016,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008017,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008018,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008019,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008020,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008021,SOX1,Lung,Small cell lung cancer,cancer
SRX12008022,SOX1,Lung,Small cell lung cancer,cancer
SRX12008023,SOX1,Lung,Small cell lung cancer,cancer
SRX12008024,SOX1,Lung,Small cell lung cancer,cancer
SRX12694140,IRF1,Lung,Non-small cell lung cancer,cancer
SRX12694142,IRF1,Lung,Non-small cell lung cancer,cancer
SRX13255928,Epitope tags,Breast,Breast cancer cells,cancer
SRX13255929,Epitope tags,Breast,Breast cancer cells,cancer
SRX13639388,AR,Prostate,Prostate cancer,cancer
SRX13639389,AR,Prostate,Prostate cancer,cancer
SRX13639390,AR,Prostate,Prostate cancer,cancer
SRX155766,HSF1,Breast,Breast cancer cells,cancer
SRX155767,HSF1,Breast,Breast cancer cells,cancer
SRX155769,HSF1,Breast,Breast cancer cells,cancer
SRX155770,HSF1,Breast,Breast cancer cells,cancer
SRX155772,HSF1,Digestive tract,Colon cancer,cancer
SRX155773,HSF1,Digestive tract,Colon cancer,cancer
SRX155775,HSF1,Digestive tract,Colon cancer,cancer
SRX155776,HSF1,Digestive tract,Colon cancer,cancer
SRX1660871,TRIM25,Breast,Breast cancer cells,cancer
SRX1660872,TRIM25,Breast,Breast cancer cells,cancer
SRX1660873,TRIM25,Breast,Breast cancer cells,cancer
SRX1660875,TRIM25,Breast,Breast cancer cells,cancer
SRX1660876,TRIM25,Breast,Breast cancer cells,cancer
SRX1660877,TRIM25,Breast,Breast cancer cells,cancer
SRX186798,ESR1,Breast,Breast cancer,cancer
SRX186801,ESR1,Breast,Breast cancer,cancer
SRX186804,ESR1,Breast,Breast cancer,cancer
SRX186807,ESR1,Breast,Breast cancer,cancer
SRX186810,ESR1,Breast,Breast cancer,cancer
SRX186813,ESR1,Breast,Breast cancer,cancer
SRX186816,ESR1,Breast,Breast cancer,cancer
SRX186818,ESR1,Breast,Breast cancer,cancer
SRX186821,ESR1,Breast,Breast cancer,cancer
SRX186824,ESR1,Breast,Breast cancer,cancer
SRX186827,ESR1,Breast,Breast cancer,cancer
SRX186830,ESR1,Breast,Breast cancer,cancer
SRX2020844,STAT3,Breast,Breast cancer cells,cancer
SRX2020845,STAT3,Breast,Breast cancer cells,cancer
SRX20504946,STAT3,Breast,Breast cancer cells,cancer
SRX20504947,STAT3,Breast,Breast cancer cells,cancer
SRX220083,AR,Prostate,Prostate cancer,cancer
SRX220084,AR,Prostate,Prostate cancer,cancer
SRX220085,AR,Prostate,Prostate cancer,cancer
SRX220086,AR,Prostate,Prostate cancer,cancer
SRX220087,AR,Prostate,Prostate cancer,cancer
SRX220088,AR,Prostate,Prostate cancer,cancer
SRX220089,AR,Prostate,Prostate cancer,cancer
SRX220090,AR,Prostate,Prostate cancer,cancer
SRX220091,AR,Prostate,Prostate cancer,cancer
SRX220092,AR,Prostate,Prostate cancer,cancer
SRX220093,AR,Prostate,Prostate cancer,cancer
SRX220094,AR,Prostate,Prostate cancer,cancer
SRX2388756,AR,Prostate,Prostate cancer-associated fibroblasts,cancer
SRX2460046,ESR1,Breast,Breast cancer cells,cancer
SRX2460047,PGR,Breast,Breast cancer cells,cancer
SRX2460050,ESR1,Breast,Breast cancer cells,cancer
SRX2460051,PGR,Breast,Breast cancer cells,cancer
SRX2460054,ESR1,Breast,Breast cancer cells,cancer
SRX2460055,PGR,Breast,Breast cancer cells,cancer
SRX2460058,ESR1,Breast,Breast cancer cells,cancer
SRX2460059,PGR,Breast,Breast cancer cells,cancer
SRX2460062,ESR1,Breast,Breast cancer cells,cancer
SRX2460063,PGR,Breast,Breast cancer cells,cancer
SRX2460066,ESR1,Breast,Breast cancer cells,cancer
SRX2460067,PGR,Breast,Breast cancer cells,cancer
SRX2541222,AR,Prostate,Prostate cancer cells,cancer
SRX2541229,AR,Prostate,Prostate cancer cells,cancer
SRX2541234,COBLL1,Prostate,Prostate cancer cells,cancer
SRX2541235,SFPQ,Prostate,Prostate cancer cells,cancer
SRX2541237,COBLL1,Prostate,Prostate cancer cells,cancer
SRX2541238,SFPQ,Prostate,Prostate cancer cells,cancer
SRX2541239,SFPQ,Prostate,Prostate cancer cells,cancer
SRX2541240,SFPQ,Prostate,Prostate cancer cells,cancer
SRX2541246,AR,Prostate,Prostate cancer cells,cancer
SRX2541247,AR,Prostate,Prostate cancer cells,cancer
SRX2731713,SOX2,Lung,Lung cancer cell line,cancer
SRX2897197,ESR1,Breast,Breast cancer cells,cancer
SRX2897198,ESR1,Breast,Breast cancer cells,cancer
SRX2897199,ESR1,Breast,Breast cancer cells,cancer
SRX2897200,ESR1,Breast,Breast cancer cells,cancer
SRX2897201,ESR1,Breast,Breast cancer cells,cancer
SRX2897202,ESR1,Breast,Breast cancer cells,cancer
SRX2897203,ESR1,Breast,Breast cancer cells,cancer
SRX2897204,ESR1,Breast,Breast cancer cells,cancer
SRX2897205,ESR1,Breast,Breast cancer cells,cancer
SRX2897206,ESR1,Breast,Breast cancer cells,cancer
SRX2897207,ESR1,Breast,Breast cancer cells,cancer
SRX2897208,ESR1,Breast,Breast cancer cells,cancer
SRX2897209,ESR1,Breast,Breast cancer cells,cancer
SRX2897210,ESR1,Breast,Breast cancer cells,cancer
SRX2897211,ESR1,Breast,Breast cancer cells,cancer
SRX2897212,ESR1,Breast,Breast cancer cells,cancer
SRX2897213,ESR1,Breast,Breast cancer cells,cancer
SRX2897214,ESR1,Breast,Breast cancer cells,cancer
SRX2897215,ESR1,Breast,Breast cancer cells,cancer
SRX2897216,ESR1,Breast,Breast cancer cells,cancer
SRX2897217,ESR1,Breast,Breast cancer cells,cancer
SRX2897218,ESR1,Breast,Breast cancer cells,cancer
SRX2897219,ESR1,Breast,Breast cancer cells,cancer
SRX2897220,ESR1,Breast,Breast cancer cells,cancer
SRX2897221,ESR1,Breast,Breast cancer cells,cancer
SRX2897222,ESR1,Breast,Breast cancer cells,cancer
SRX2897223,ESR1,Breast,Breast cancer cells,cancer
SRX2897224,ESR1,Breast,Breast cancer cells,cancer
SRX2897225,ESR1,Breast,Breast cancer cells,cancer
SRX2897226,ESR1,Breast,Breast cancer cells,cancer
SRX2897227,ESR1,Breast,Breast cancer cells,cancer
SRX2897228,ESR1,Breast,Breast cancer cells,cancer
SRX2897229,ESR1,Breast,Breast cancer cells,cancer
SRX2897230,ESR1,Breast,Breast cancer cells,cancer
SRX2897231,ESR1,Breast,Breast cancer cells,cancer
SRX2897232,ESR1,Breast,Breast cancer cells,cancer
SRX2897233,ESR1,Breast,Breast cancer cells,cancer
SRX2897234,ESR1,Breast,Breast cancer cells,cancer
SRX2897235,ESR1,Breast,Breast cancer cells,cancer
SRX2897236,ESR1,Breast,Breast cancer cells,cancer
SRX3229120,ESR1,Breast,Breast cancer,cancer
SRX3229121,ESR1,Breast,Breast cancer,cancer
SRX3229122,ESR1,Breast,Breast cancer,cancer
SRX3229123,FOXA1,Breast,Breast cancer,cancer
SRX3229124,FOXA1,Breast,Breast cancer,cancer
SRX3229125,FOXA1,Breast,Breast cancer,cancer
SRX3229126,FOXA1,Breast,Breast cancer,cancer
SRX3229127,ESR1,Breast,Breast cancer,cancer
SRX3229128,ESR1,Breast,Breast cancer,cancer
SRX3229129,FOXA1,Breast,Breast cancer,cancer
SRX3229130,FOXA1,Breast,Breast cancer,cancer
SRX3229131,FOXA1,Breast,Breast cancer,cancer
SRX3229132,ESR1,Breast,Breast cancer,cancer
SRX3229133,AR,Breast,Breast cancer,cancer
SRX3229136,ESR1,Breast,Breast cancer,cancer
SRX3229137,ESR1,Breast,Breast cancer,cancer
SRX3229138,ESR1,Breast,Breast cancer,cancer
SRX3229139,ESR1,Breast,Breast cancer,cancer
SRX3229140,ESR1,Breast,Breast cancer,cancer
SRX3229141,ESR1,Breast,Breast cancer,cancer
SRX3229142,ESR1,Breast,Breast cancer,cancer
SRX3229143,ESR1,Breast,Breast cancer,cancer
SRX3229144,ESR1,Breast,Breast cancer,cancer
SRX3229145,ESR1,Breast,Breast cancer,cancer
SRX3229146,ESR1,Breast,Breast cancer,cancer
SRX3229147,ESR1,Breast,Breast cancer,cancer
SRX3229148,ESR1,Breast,Breast cancer,cancer
SRX3229149,ESR1,Breast,Breast cancer,cancer
SRX3229150,ESR1,Breast,Breast cancer,cancer
SRX3229151,ESR1,Breast,Breast cancer,cancer
SRX3229152,ESR1,Breast,Breast cancer,cancer
SRX3229153,ESR1,Breast,Breast cancer,cancer
SRX3229154,ESR1,Breast,Breast cancer,cancer
SRX3229155,ESR1,Breast,Breast cancer,cancer
SRX3229156,ESR1,Breast,Breast cancer,cancer
SRX3229157,ESR1,Breast,Breast cancer,cancer
SRX3229158,ESR1,Breast,Breast cancer,cancer
SRX3229159,ESR1,Breast,Breast cancer,cancer
SRX3229160,ESR1,Breast,Breast cancer,cancer
SRX3229161,ESR1,Breast,Breast cancer,cancer
SRX3229162,ESR1,Breast,Breast cancer,cancer
SRX3229163,ESR1,Breast,Breast cancer,cancer
SRX3229164,ESR1,Breast,Breast cancer,cancer
SRX3229165,ESR1,Breast,Breast cancer,cancer
SRX3229166,AR,Breast,Breast cancer,cancer
SRX3229167,AR,Breast,Breast cancer,cancer
SRX3229168,AR,Breast,Breast cancer,cancer
SRX3229169,AR,Breast,Breast cancer,cancer
SRX3229170,AR,Breast,Breast cancer,cancer
SRX3229171,AR,Breast,Breast cancer,cancer
SRX3229172,AR,Breast,Breast cancer,cancer
SRX3229173,AR,Breast,Breast cancer,cancer
SRX3229174,AR,Breast,Breast cancer,cancer
SRX3229175,FOXA1,Breast,Breast cancer,cancer
SRX3229176,FOXA1,Breast,Breast cancer,cancer
SRX3229177,FOXA1,Breast,Breast cancer,cancer
SRX3229178,FOXA1,Breast,Breast cancer,cancer
SRX3229179,FOXA1,Breast,Breast cancer,cancer
SRX3229180,FOXA1,Breast,Breast cancer,cancer
SRX3229181,FOXA1,Breast,Breast cancer,cancer
SRX3229182,NR3C1,Breast,Breast cancer,cancer
SRX3229183,NR3C1,Breast,Breast cancer,cancer
SRX3229184,NR3C1,Breast,Breast cancer,cancer
SRX3229185,NR3C1,Breast,Breast cancer,cancer
SRX3229186,NR3C1,Breast,Breast cancer,cancer
SRX3229187,NR3C1,Breast,Breast cancer,cancer
SRX3229188,NR3C1,Breast,Breast cancer,cancer
SRX3229189,PGR,Breast,Breast cancer,cancer
SRX3229190,PGR,Breast,Breast cancer,cancer
SRX3229191,PGR,Breast,Breast cancer,cancer
SRX3229192,PGR,Breast,Breast cancer,cancer
SRX3229193,GATA3,Breast,Breast cancer,cancer
SRX3229194,GATA3,Breast,Breast cancer,cancer
SRX3229195,GATA3,Breast,Breast cancer,cancer
SRX3722703,ESR1,Breast,Breast cancer cells,cancer
SRX3722704,ESR1,Breast,Breast cancer cells,cancer
SRX3722705,ESR1,Breast,Breast cancer cells,cancer
SRX3722706,ESR1,Breast,Breast cancer cells,cancer
SRX3722707,ESR1,Breast,Breast cancer cells,cancer
SRX3868792,REST,Digestive tract,Colorectal cancer organoid,cancer
SRX3868794,REST,Digestive tract,Colorectal cancer organoid,cancer
SRX3868796,REST,Digestive tract,Colorectal cancer organoid,cancer
SRX3868798,REST,Digestive tract,Colorectal cancer organoid,cancer
SRX3868800,REST,Digestive tract,Colorectal cancer organoid,cancer
SRX3958389,WDR5,Breast,Breast cancer cells,cancer
SRX3958390,WDR5,Breast,Breast cancer cells,cancer
SRX4080207,HOXB13,Prostate,Prostate cancer cells,cancer
SRX4080208,HOXB13,Prostate,Prostate cancer cells,cancer
SRX4080209,HOXB13,Prostate,Prostate cancer cells,cancer
SRX4080210,HOXB13,Prostate,Prostate cancer cells,cancer
SRX4080211,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4080212,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4080213,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4080214,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4116000,AR,Prostate,Prostate cancer cells,cancer
SRX4116001,AR,Prostate,Prostate cancer cells,cancer
SRX4116002,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4116003,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4116006,AR,Prostate,Prostate cancer cells,cancer
SRX4116007,AR,Prostate,Prostate cancer cells,cancer
SRX4116008,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4116009,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4116012,AR,Prostate,Prostate cancer cells,cancer
SRX4116013,AR,Prostate,Prostate cancer cells,cancer
SRX4116014,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4116015,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4116019,AR,Prostate,Prostate cancer cells,cancer
SRX4116020,AR,Prostate,Prostate cancer cells,cancer
SRX4116021,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4116022,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4116025,ESR1,Breast,Breast cancer cells,cancer
SRX4116026,ESR1,Breast,Breast cancer cells,cancer
SRX4116027,FOXA1,Breast,Breast cancer cells,cancer
SRX4116028,FOXA1,Breast,Breast cancer cells,cancer
SRX4116033,ESR1,Breast,Breast cancer cells,cancer
SRX4116034,ESR1,Breast,Breast cancer cells,cancer
SRX4116035,FOXA1,Breast,Breast cancer cells,cancer
SRX4116036,FOXA1,Breast,Breast cancer cells,cancer
SRX4116041,ESR1,Breast,Breast cancer cells,cancer
SRX4116042,ESR1,Breast,Breast cancer cells,cancer
SRX4116043,FOXA1,Breast,Breast cancer cells,cancer
SRX4116044,FOXA1,Breast,Breast cancer cells,cancer
SRX4116050,ESR1,Breast,Breast cancer cells,cancer
SRX4116051,ESR1,Breast,Breast cancer cells,cancer
SRX4116052,FOXA1,Breast,Breast cancer cells,cancer
SRX4116053,FOXA1,Breast,Breast cancer cells,cancer
SRX4116058,ESR1,Uterus,Endometrium cancer,cancer
SRX4116059,ESR1,Uterus,Endometrium cancer,cancer
SRX4116062,ESR1,Uterus,Endometrium cancer,cancer
SRX4116063,ESR1,Uterus,Endometrium cancer,cancer
SRX4116066,ESR1,Uterus,Endometrium cancer,cancer
SRX4116067,ESR1,Uterus,Endometrium cancer,cancer
SRX4116070,AR,Prostate,Prostate cancer cells,cancer
SRX4116071,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4116073,AR,Prostate,Prostate cancer cells,cancer
SRX4116074,FOXA1,Prostate,Prostate cancer cells,cancer
SRX4783021,AR,Prostate,Prostate cancer cells,cancer
SRX4783022,AR,Prostate,Prostate cancer cells,cancer
SRX4783023,AR,Prostate,Prostate cancer cells,cancer
SRX4783024,AR,Prostate,Prostate cancer cells,cancer
SRX4783025,AR,Prostate,Prostate cancer cells,cancer
SRX4783026,AR,Prostate,Prostate cancer cells,cancer
SRX4783027,AR,Prostate,Prostate cancer cells,cancer
SRX4783028,AR,Prostate,Prostate cancer cells,cancer
SRX4783029,AR,Prostate,Prostate cancer cells,cancer
SRX4783030,AR,Prostate,Prostate cancer cells,cancer
SRX4783031,AR,Prostate,Prostate cancer cells,cancer
SRX4783032,AR,Prostate,Prostate cancer cells,cancer
SRX4783033,AR,Prostate,Prostate cancer cells,cancer
SRX4783034,AR,Prostate,Prostate cancer cells,cancer
SRX4783035,AR,Prostate,Prostate cancer cells,cancer
SRX4783036,AR,Prostate,Prostate cancer cells,cancer
SRX4783037,AR,Prostate,Prostate cancer cells,cancer
SRX4783038,AR,Prostate,Prostate cancer cells,cancer
SRX4783039,AR,Prostate,Prostate cancer cells,cancer
SRX4783040,AR,Prostate,Prostate cancer cells,cancer
SRX4783041,AR,Prostate,Prostate cancer cells,cancer
SRX4783042,AR,Prostate,Prostate cancer cells,cancer
SRX4783043,AR,Prostate,Prostate cancer cells,cancer
SRX4783044,AR,Prostate,Prostate cancer cells,cancer
SRX4783045,AR,Prostate,Prostate cancer cells,cancer
SRX4783046,AR,Prostate,Prostate cancer cells,cancer
SRX4783047,AR,Prostate,Prostate cancer cells,cancer
SRX4783048,AR,Prostate,Prostate cancer cells,cancer
SRX4783049,AR,Prostate,Prostate cancer cells,cancer
SRX4783050,AR,Prostate,Prostate cancer cells,cancer
SRX4783051,AR,Prostate,Prostate cancer cells,cancer
SRX4783052,AR,Prostate,Prostate cancer cells,cancer
SRX4783053,AR,Prostate,Prostate cancer cells,cancer
SRX4783054,AR,Prostate,Prostate cancer cells,cancer
SRX4783055,AR,Prostate,Prostate cancer cells,cancer
SRX4783056,AR,Prostate,Prostate cancer cells,cancer
SRX4783057,AR,Prostate,Prostate cancer cells,cancer
SRX4783058,AR,Prostate,Prostate cancer cells,cancer
SRX4783059,AR,Prostate,Prostate cancer cells,cancer
SRX4783060,AR,Prostate,Prostate cancer cells,cancer
SRX4783061,AR,Prostate,Prostate cancer cells,cancer
SRX4783062,AR,Prostate,Prostate cancer cells,cancer
SRX4783063,AR,Prostate,Prostate cancer cells,cancer
SRX4783064,AR,Prostate,Prostate cancer cells,cancer
SRX4783065,AR,Prostate,Prostate cancer cells,cancer
SRX4783066,AR,Prostate,Prostate cancer cells,cancer
SRX4783067,AR,Prostate,Prostate cancer cells,cancer
SRX4783068,AR,Prostate,Prostate cancer cells,cancer
SRX4783069,AR,Prostate,Prostate cancer cells,cancer
SRX4783070,AR,Prostate,Prostate cancer cells,cancer
SRX4783071,AR,Prostate,Prostate cancer cells,cancer
SRX4783072,AR,Prostate,Prostate cancer cells,cancer
SRX4783073,AR,Prostate,Prostate cancer cells,cancer
SRX4783074,AR,Prostate,Prostate cancer cells,cancer
SRX4783075,AR,Prostate,Prostate cancer cells,cancer
SRX4783076,AR,Prostate,Prostate cancer cells,cancer
SRX4783077,AR,Prostate,Prostate cancer cells,cancer
SRX4783078,AR,Prostate,Prostate cancer cells,cancer
SRX4783079,AR,Prostate,Prostate cancer cells,cancer
SRX4783080,AR,Prostate,Prostate cancer cells,cancer
SRX4783081,AR,Prostate,Prostate cancer cells,cancer
SRX4783082,AR,Prostate,Prostate cancer cells,cancer
SRX4783083,AR,Prostate,Prostate cancer cells,cancer
SRX4783084,AR,Prostate,Prostate cancer cells,cancer
SRX4783085,AR,Prostate,Prostate cancer cells,cancer
SRX4783086,AR,Prostate,Prostate cancer cells,cancer
SRX4783087,AR,Prostate,Prostate cancer cells,cancer
SRX4783088,AR,Prostate,Prostate cancer cells,cancer
SRX4783089,AR,Prostate,Prostate cancer cells,cancer
SRX4783090,AR,Prostate,Prostate cancer cells,cancer
SRX4783091,AR,Prostate,Prostate cancer cells,cancer
SRX4783092,AR,Prostate,Prostate cancer cells,cancer
SRX4783093,AR,Prostate,Prostate cancer cells,cancer
SRX4783094,AR,Prostate,Prostate cancer cells,cancer
SRX4783095,AR,Prostate,Prostate cancer cells,cancer
SRX4783096,AR,Prostate,Prostate cancer cells,cancer
SRX4783097,AR,Prostate,Prostate cancer cells,cancer
SRX4783098,AR,Prostate,Prostate cancer cells,cancer
SRX4783099,AR,Prostate,Prostate cancer cells,cancer
SRX4783100,AR,Prostate,Prostate cancer cells,cancer
SRX4783101,AR,Prostate,Prostate cancer cells,cancer
SRX4783102,AR,Prostate,Prostate cancer cells,cancer
SRX4783103,AR,Prostate,Prostate cancer cells,cancer
SRX4783104,AR,Prostate,Prostate cancer cells,cancer
SRX4783105,AR,Prostate,Prostate cancer cells,cancer
SRX4783106,AR,Prostate,Prostate cancer cells,cancer
SRX4783107,AR,Prostate,Prostate cancer cells,cancer
SRX4783108,AR,Prostate,Prostate cancer cells,cancer
SRX502055,AR,Prostate,Prostate cancer,cancer
SRX502057,AR,Prostate,Prostate cancer,cancer
SRX502059,AR,Prostate,Prostate cancer,cancer
SRX502062,AR,Prostate,Prostate cancer,cancer
SRX502063,AR,Prostate,Prostate cancer,cancer
SRX502065,AR,Prostate,Prostate cancer,cancer
SRX502066,AR,Prostate,Prostate cancer,cancer
SRX502067,AR,Prostate,Prostate cancer,cancer
SRX502069,AR,Prostate,Prostate cancer,cancer
SRX502070,AR,Prostate,Prostate cancer,cancer
SRX502071,AR,Prostate,Prostate cancer,cancer
SRX502072,AR,Prostate,Prostate cancer,cancer
SRX502073,AR,Prostate,Prostate cancer,cancer
SRX5323927,STAT3,Breast,Breast cancer cells,cancer
SRX5323928,STAT3,Breast,Breast cancer cells,cancer
SRX5323929,ESR1,Breast,Breast cancer cells,cancer
SRX5323930,ESR1,Breast,Breast cancer cells,cancer
SRX5323931,FOXA1,Breast,Breast cancer cells,cancer
SRX5401652,AR,Prostate,Prostate cancer-derived fibroblasts,cancer
SRX5401653,AR,Prostate,Prostate cancer-derived fibroblasts,cancer
SRX5401656,AR,Prostate,Prostate cancer-derived fibroblasts,cancer
SRX5401657,AR,Prostate,Prostate cancer-derived fibroblasts,cancer
SRX5401658,AR,Prostate,Prostate cancer-derived fibroblasts,cancer
