ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440344,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell_type_class=Blood,LLM
DRX440349,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. Cell_type_class=Blood, Cell_type=CD4+ T cells, Metadata=sample_name=ChIPseq EZH2 of TL-Om1",LLM
SRX017709,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. cell type=activated CD4+ T cell,LLM
SRX037935,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. source_name=CD34, condition=CD34 WT",LLM
SRX037940,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. condition=BRG1 RNAi KD,LLM
SRX037941,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. condition=BRG1 KD,LLM
SRX10977238,skipped,0,Keyword search skipped (LLM-Only mode),error,"LLM JSON parsing error: Extra data: line 8 column 1 (char 182). Response: {
  ""id"": ""SRX10977238"",
  ""metadata"": ""age=2-4 day; dev_stage=newborn; donor ID=ENCDO615NVN; treatments=chemical treatment for calcium; health state=Healthy"",
  ""native"": false
}


The provided metadata contains several indicators of a non-native sample: age range (2-4 days) and developmental stage (newborn) suggest the sample is not from a normal physiological condition. The presence of a donor ID, treatments, and passage number further indicates that this is not a native or normal specimen.",Keyword (skipped / LLM Error)
SRX10977366,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. age=5 day, donor ID=ENCDO222AAA",LLM
SRX11513464,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. individual=donor B | time=24 hours differentiation,LLM
SRX11513465,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_type_class=Blood, Cell_type=Dendritic Cells, source_name=Tolerogenic dendritic cells differentiated from monocytes 24 hours (replicate B), cell type=tolDC, individual=donor B, time=24 hours differentiation",LLM
SRX12118509,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. tissue=tonsil, source_name=na\u00cde B-cells",LLM
SRX12129506,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell type=T cells | treatment=PLX,LLM
SRX12209241,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. source_name=CD3/CD28 stimulated CD4+ T cells,LLM
